Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
PS2,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
WiiU,Misc,Nintendo,2.55,1.11,0.46,0.33,4.44
Wii,Misc,Ubisoft,2.67,1.35,0.01,0.39,4.42
PS2,Sports,Activision,2.66,1.29,0.01,0.46,4.41
PS2,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39
X360,Role-Playing,Take-Two Interactive,2.82,1.05,0.13,0.4,4.39
NES,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38
PS2,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37
PS3,Shooter,Sony Computer Entertainment,1.73,1.73,0.14,0.75,4.35
GEN,Platform,Sega,3.03,0.91,0.26,0.13,4.34
PS2,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33
X360,Sports,Electronic Arts,0.92,2.93,0.01,0.46,4.31
X360,Shooter,Activision,2.75,1.18,0,0.37,4.31
2600,Shooter,Atari,4,0.26,0,0.05,4.31
X360,Role-Playing,Microsoft Game Studios,2.51,1.27,0.11,0.41,4.31
XOne,Shooter,Microsoft Game Studios,2.64,1.2,0.03,0.39,4.26
WiiU,Platform,Nintendo,2.11,1.11,0.72,0.3,4.25
PS3,Action,Eidos Interactive,2.23,1.34,0.07,0.61,4.25
PS3,Action,Ubisoft,1.41,2.02,0.1,0.72,4.24
GBA,Misc,Namco Bandai Games,3,1.11,0.05,0.07,4.24
PS2,Action,Konami Digital Entertainment,1.46,0,0.83,1.93,4.23
PSP,Platform,Sony Computer Entertainment,2.45,1.02,0,0.75,4.22
PC,Strategy,Activision,1.7,2.27,0,0.23,4.21
3DS,Action,Nintendo,2.03,1.27,0.62,0.3,4.21
PS2,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21
PS2,Misc,Sony Computer Entertainment,0.88,2.3,0.2,0.83,4.2
PS4,Shooter,Sony Computer Entertainment,1.3,2.07,0.18,0.65,4.2
PS3,Racing,Sony Computer Entertainment,1.28,1.83,0.57,0.53,4.2
X360,Action,Ubisoft,2.25,1.47,0.04,0.43,4.19
PS3,Fighting,Capcom,2.02,1.06,0.58,0.53,4.19
X360,Sports,Electronic Arts,0.84,2.79,0.02,0.53,4.19
NES,Action,Palcom,3.38,0.44,0.31,0.04,4.17
NES,Racing,Nintendo,2.04,0.48,1.57,0.07,4.16
PS,Action,Hasbro Interactive,3.79,0.27,0,0.11,4.16
PS2,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14
PS4,Action,Ubisoft,1.4,1.86,0.11,0.77,4.14
PC,Shooter,Vivendi Games,4.03,0,0.09,0,4.12
SNES,Platform,Nintendo,1.65,0.61,1.76,0.09,4.12
PS2,Sports,Electronic Arts,0.71,2.48,0.03,0.89,4.11
Wii,Action,Nintendo,2.14,1.2,0.37,0.4,4.1
SNES,Fighting,Capcom,1.42,0.51,2.1,0.07,4.1
Wii,Misc,Take-Two Interactive,2.13,1.5,0.05,0.42,4.1
XOne,Role-Playing,Bethesda Softworks,2.45,1.26,0.01,0.37,4.09
PC,Role-Playing,Activision,2.57,1.52,0,0,4.09
X360,Role-Playing,Bethesda Softworks,2.65,1.06,0.04,0.33,4.08
PS2,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07
X360,Racing,Microsoft Game Studios,2.35,1.28,0.03,0.41,4.06
PS2,Sports,Konami Digital Entertainment,0.12,2.26,0.9,0.77,4.06
PS,Misc,Sony Computer Entertainment,2.28,1.55,0.16,0.06,4.05
PS2,Fighting,Namco Bandai Games,1.68,1.51,0.51,0.35,4.05
PS4,Shooter,Ubisoft,1.12,2.12,0.1,0.69,4.03
N64,Shooter,Nintendo,2.78,0.58,0.64,0.04,4.03
PS4,Misc,Sony Computer Entertainment Europe,1.38,1.87,0.12,0.65,4.02
NES,Sports,Nintendo,1.22,0.28,2.46,0.04,4.01
PS3,Role-Playing,Bethesda Softworks,2.15,1.2,0.07,0.59,4.01
DS,Puzzle,Nintendo,0.92,1.78,0.92,0.37,4
X360,Shooter,Electronic Arts,2.67,0.89,0.05,0.37,3.99
PS2,Misc,Namco Bandai Games,2.08,1.35,0,0.54,3.98
Wii,Sports,Electronic Arts,2.1,1.36,0.06,0.4,3.92
PS4,Action,Ubisoft,1.18,1.96,0.08,0.7,3.92
GB,Platform,Nintendo,1.97,0.76,1.07,0.11,3.91
PS2,Sports,Activision,2.29,1.17,0.01,0.42,3.9
PS3,Action,Ubisoft,1.33,1.71,0.13,0.73,3.89
3DS,Role-Playing,Nintendo,0.67,0.49,2.62,0.11,3.89
PS3,Racing,Sony Computer Entertainment,1.53,1.61,0.06,0.67,3.88
PC,Role-Playing,Bethesda Softworks,1.15,2.09,0,0.64,3.88
PS2,Fighting,Namco Bandai Games,0.93,1.94,0.31,0.7,3.87
NES,Role-Playing,Enix Corporation,0.1,0,3.77,0,3.87
PS3,Sports,Sony Computer Entertainment,2.12,1.14,0.1,0.51,3.87
PS4,Sports,Take-Two Interactive,2.48,0.65,0.03,0.69,3.85
PS2,Sports,Konami Digital Entertainment,0.16,1.89,1.12,0.68,3.85
DS,Misc,Nintendo,0.87,1.57,1.05,0.35,3.84
PS,Misc,Sony Computer Entertainment,2.12,1.44,0.22,0.06,3.84
GB,Action,Nintendo,2.21,0.96,0.54,0.13,3.83
DS,Role-Playing,Nintendo,2.26,0.48,0.81,0.27,3.83
Wii,Misc,Nintendo,1.06,1.93,0.41,0.43,3.82
3DS,Simulation,Nintendo,1.44,1.37,0.73,0.27,3.81
PS4,Action,Warner Bros. Interactive Entertainment,1.49,1.58,0.1,0.61,3.79
Wii,Sports,Sega,1.14,1.91,0.27,0.46,3.78
X360,Action,Activision,2.4,1.03,0,0.36,3.78
PS,Action,Virgin Interactive,1.82,1.24,0.47,0.25,3.77
PSP,Platform,Sony Computer Entertainment,1.4,1.4,0.1,0.87,3.77
Wii,Misc,Ubisoft,1.98,1.47,0,0.32,3.76
PC,Simulation,Electronic Arts,2.03,1.56,0,0.17,3.76
Wii,Platform,Nintendo,1.98,0.88,0.59,0.32,3.76
PS,Action,Electronic Arts,1.37,2,0.14,0.22,3.73
PS4,Role-Playing,Namco Bandai Games,0.96,2,0.21,0.56,3.73
PS,Action,Eidos Interactive,1.3,0.77,1.54,0.11,3.72
PS,Platform,Sony Computer Entertainment,1.93,1.58,0,0.19,3.71
PS2,Sports,Electronic Arts,0.58,2.48,0.04,0.59,3.7
GB,Strategy,Nintendo,1.49,0.73,1.38,0.1,3.7
PS3,Shooter,Electronic Arts,1.3,1.51,0.27,0.61,3.69
DS,Simulation,Electronic Arts,1.59,1.61,0.08,0.41,3.69
DS,Misc,Nintendo,0,0,3.67,0,3.67
PS2,Sports,Activision,2.13,1.18,0.01,0.35,3.67
PSP,Racing,Take-Two Interactive,1.65,1.22,0,0.79,3.66
N64,Platform,Nintendo,1.87,1.13,0.55,0.1,3.65
PS2,Shooter,Sony Computer Entertainment,2.53,0.81,0.06,0.24,3.65
Wii,Misc,Activision,2.33,0.97,0,0.35,3.65
PS3,Racing,Sony Computer Entertainment,0.71,1.8,0.4,0.74,3.64
PS2,Platform,Sony Computer Entertainment,2.08,1.09,0.15,0.33,3.64
N64,Simulation,Nintendo,2.23,0.68,0.66,0.06,3.63
PS3,Sports,Electronic Arts,0.6,2.46,0.05,0.52,3.63
PS2,Sports,Konami Digital Entertainment,0.05,0,0.64,2.93,3.63
PS4,Shooter,Activision,1.78,1.42,0.05,0.38,3.63
PS2,Action,Capcom,2.08,0.83,0.46,0.25,3.62
PS4,Shooter,Ubisoft,1.28,1.61,0.15,0.57,3.61
PS2,Shooter,LucasArts,1.93,1.22,0.03,0.44,3.61
PC,Shooter,Virgin Interactive,2.05,1.4,0,0.16,3.61
PS2,Racing,Electronic Arts,2.02,1.17,0,0.42,3.61
DS,Simulation,505 Games,1.61,1.5,0.1,0.39,3.61
GC,Action,Nintendo,2.38,0.67,0.46,0.1,3.6
PS2,Shooter,LucasArts,2.18,1.02,0.03,0.37,3.59
PS,Fighting,THQ,2.01,1.35,0.06,0.16,3.58
PS,Platform,Fox Interactive,1.57,1.79,0,0.2,3.56
PS2,Action,Take-Two Interactive,1.56,1.4,0.07,0.5,3.54
PS2,Action,Sony Computer Entertainment,1.23,1.77,0.05,0.49,3.54
PS,Action,Eidos Interactive,1.66,1.58,0.12,0.18,3.54
PS2,Shooter,Electronic Arts,1.9,1.13,0.1,0.41,3.53
PS2,Action,Eidos Interactive,1.98,1.14,0.01,0.41,3.53
X360,Shooter,Electronic Arts,2.14,1.08,0.02,0.29,3.53
X360,Sports,Electronic Arts,0.71,2.4,0.02,0.4,3.53
PS,Action,THQ,1.96,1.33,0,0.23,3.52
PS,Platform,Sony Computer Entertainment,2.14,1.21,0.01,0.17,3.52
X360,Shooter,Electronic Arts,2.66,0.5,0.05,0.3,3.52
DS,Sports,Sega,1.22,1.66,0.27,0.38,3.52
X360,Action,Capcom,2.11,0.94,0.12,0.34,3.51
SNES,Platform,Nintendo,1.17,0.5,1.75,0.08,3.51
X360,Action,Ubisoft,2.84,0.39,0.03,0.24,3.5
NES,Action,Nintendo,1.64,0.38,1.42,0.06,3.5
X360,Action,Eidos Interactive,2.2,0.97,0.02,0.31,3.5
DS,Misc,Nintendo,0.59,1.83,0.73,0.35,3.5
PS2,Sports,Electronic Arts,0.59,2.36,0.04,0.51,3.49
